?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CHR_9606chr10p12.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10p12.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr13qD>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13qD (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr5q34>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q34 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p1 (Human)"	
<http://purl.obolibrary.org/obo/GENO_0000614>	<http://www.w3.org/2000/01/rdf-schema#label>	"chromosomal region"	
<http://purl.obolibrary.org/obo/CHR_9606chrXq25>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXq25 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr2qG2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2qG2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr2qD>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2qD (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12p1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr4q3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q3 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr16qB>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16qB (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1q41>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q41 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q34.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q34.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr13qD1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13qD1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q21.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q21.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr6q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q1 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr12qC>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12qC (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q24>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q24 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13p11.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13p11.1 (Human)"	
<http://purl.obolibrary.org/obo/SO_0000577>	<http://www.w3.org/2000/01/rdf-schema#label>	"centromere"	
<http://purl.obolibrary.org/obo/CHR_10116chr1q36>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q36 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11q14.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11q14.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr19qC2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19qC2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7p15>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7p15 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q25.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q25.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11q2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11q2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr16q12.5>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16q12.5 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr6qE>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6qE (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr18p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18p (Human)"	
<http://purl.obolibrary.org/obo/SO_0001026>	<http://www.w3.org/2000/01/rdf-schema#label>	"genome"	
<http://purl.obolibrary.org/obo/CHR_10116chr3q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q (Rat)"	
<http://purl.obolibrary.org/obo/GENO_0000629>	<http://www.w3.org/2000/01/rdf-schema#label>	"long chromosome arm"	
<http://purl.obolibrary.org/obo/CHR_9606chr10p15>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10p15 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr2qF1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2qF1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr7q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr2q45>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q45 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr12q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q1 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12q24.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q24.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr5qA3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5qA3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chrXqF5>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXqF5 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chrXqC>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXqC (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q31.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q31.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr9qE1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9qE1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr17qA3.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17qA3.3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXp21.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXp21.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr3qG2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3qG2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q23 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4p16>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4p16 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr18q22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18q22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9p (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr18qA2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18qA2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr12p12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12p12 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q33 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr17q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17q11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q31.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q31.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr9q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q1 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr18q21.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18q21.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr14q23.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14q23.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chrYp>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrYp (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr5qA2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5qA2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q11.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q11.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q15>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q15 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr14qE2.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14qE2.3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr16>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr14q32.11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14q32.11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr5qG1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5qG1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6p25>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6p25 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr21q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr21q (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr17q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17q12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16q2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16q2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q25>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q25 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16p13.13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16p13.13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr18qB3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18qB3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1q4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q4 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8p21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8p21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr13q22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q22 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr5qG>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5qG (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q13.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q13.3 (Human)"	
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	<http://www.w3.org/2000/01/rdf-schema#label>	"Eukaryota"	
<http://purl.obolibrary.org/obo/CHR_9606chr7q31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr21p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr21p1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6p21.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6p21.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q24.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q24.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr22p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr22p1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr13q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7p12.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7p12.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5p (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q25>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q25 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q26>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q26 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2p21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2p21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr20q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20q1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q23.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q23.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr19qC1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19qC1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q13.12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q13.12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr14qA2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14qA2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7p22.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7p22.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q11.22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q11.22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q34.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q34.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chrYp11.32>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrYp11.32 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr18p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18p (Rat)"	
<http://purl.obolibrary.org/obo/GENO_0000628>	<http://www.w3.org/2000/01/rdf-schema#label>	"short chromosome arm"	
<http://purl.obolibrary.org/obo/CHR_10116chr4q43>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q43 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr17qE5>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17qE5 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr21q22.12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr21q22.12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr21q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr21q11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr5qB2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5qB2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7p (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr17qA3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17qA3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr17qA2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17qA2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr9qD>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9qD (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p36>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p36 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q31.22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q31.22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr21q21.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr21q21.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5p13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5p13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q12 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16q24>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16q24 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr15qB3.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15qB3.3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr19p13.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19p13.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr7q22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q22 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4p1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr19qC>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19qC (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q35.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q35.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10p12.33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10p12.33 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q11.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q11.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr17p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17p (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chrYq11.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrYq11.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr10qD3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10qD3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr8qC1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8qC1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chrYq11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrYq11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr12q14>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q14 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr10q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q12 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chrXqA7>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXqA7 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q42>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q42 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q13.32>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q13.32 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16q11.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16q11.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr3q3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q3 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q21.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q21.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr18p11.32>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18p11.32 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9913chr16>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16 (cow)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2p24>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2p24 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10p1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16q24.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16q24.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q32.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q32.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr2qF3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2qF3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr4q33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q33 (Rat)"	
<http://purl.obolibrary.org/obo/SO_0000830>	<http://www.w3.org/2000/01/rdf-schema#label>	"chromosome part"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qG>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qG (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q13.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q13.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr19p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19p1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr16p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16p1 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr22p11.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr22p11.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1q52>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q52 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12q21.33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q21.33 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr17q11.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17q11.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q33 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5p13.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5p13.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr18q12.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18q12.2 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr9q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr3qD>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3qD (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr10q32>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q32 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr10q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q1 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr12qB3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12qB3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr8q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9823chr18>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18 (pig)"	
<http://purl.obolibrary.org/obo/CHR_10116chr13q2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q2 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q22 (Human)"	
